duns,line_item,year,value
752869842,Current Assets,2024,
752869842,Current Assets,2023,
752869842,Current Assets,2022,
752869842,Current Assets,2021,
752869842,Current Assets,2020,-
752869842,Current Assets,2019,-
752869842,Current Assets,2018,-
752869842,Current Assets,2017,-
752869842,Current Assets,2016,-
752869842,Current Assets,2015,-
752869842,Cash and cash equivalents ($000s),2024,"$4,634"
752869842,Cash and cash equivalents ($000s),2023,-
752869842,Cash and cash equivalents ($000s),2022,"$7,744"
752869842,Cash and cash equivalents ($000s),2021,"$6,404"
752869842,Cash and cash equivalents ($000s),2020,-
752869842,Cash and cash equivalents ($000s),2019,"$7,154"
752869842,Cash and cash equivalents ($000s),2018,"$8,953"
752869842,Cash and cash equivalents ($000s),2017,"$15,646"
752869842,Cash and cash equivalents ($000s),2016,"$11,176"
752869842,Cash and cash equivalents ($000s),2015,"$8,712"
752869842,Growth,2024,-
752869842,Growth,2023,-
752869842,Growth,2022,20.92%
752869842,Growth,2021,-
752869842,Growth,2020,-
752869842,Growth,2019,(20.09%)
752869842,Growth,2018,(42.78%)
752869842,Growth,2017,40.00%
752869842,Growth,2016,28.28%
752869842,Growth,2015,-
752869842,Trade receivables ($000s),2024,
752869842,Trade receivables ($000s),2023,
752869842,Trade receivables ($000s),2022,
752869842,Trade receivables ($000s),2021,
752869842,Trade receivables ($000s),2020,-
752869842,Trade receivables ($000s),2019,-
752869842,Trade receivables ($000s),2018,-
752869842,Trade receivables ($000s),2017,-
752869842,Trade receivables ($000s),2016,-
752869842,Trade receivables ($000s),2015,-
752869842,Other receivables ($000s),2024,$0
752869842,Other receivables ($000s),2023,-
752869842,Other receivables ($000s),2022,$5
752869842,Other receivables ($000s),2021,$6
752869842,Other receivables ($000s),2020,-
752869842,Other receivables ($000s),2019,-
752869842,Other receivables ($000s),2018,$275
752869842,Other receivables ($000s),2017,-
752869842,Other receivables ($000s),2016,$3
752869842,Other receivables ($000s),2015,-
752869842,Raw materials ($000s),2024,$0
752869842,Raw materials ($000s),2023,-
752869842,Raw materials ($000s),2022,$0
752869842,Raw materials ($000s),2021,$0
752869842,Raw materials ($000s),2020,-
752869842,Raw materials ($000s),2019,$0
752869842,Raw materials ($000s),2018,$0
752869842,Raw materials ($000s),2017,$0
752869842,Raw materials ($000s),2016,$0
752869842,Raw materials ($000s),2015,$0
752869842,Work-in-progress ($000s),2024,
752869842,Work-in-progress ($000s),2023,
752869842,Work-in-progress ($000s),2022,
752869842,Work-in-progress ($000s),2021,
752869842,Work-in-progress ($000s),2020,-
752869842,Work-in-progress ($000s),2019,-
752869842,Work-in-progress ($000s),2018,-
752869842,Work-in-progress ($000s),2017,-
752869842,Work-in-progress ($000s),2016,-
752869842,Work-in-progress ($000s),2015,-
752869842,Finished goods ($000s),2024,$0
752869842,Finished goods ($000s),2023,-
752869842,Finished goods ($000s),2022,$0
752869842,Finished goods ($000s),2021,$0
752869842,Finished goods ($000s),2020,-
752869842,Finished goods ($000s),2019,$0
752869842,Finished goods ($000s),2018,$0
752869842,Finished goods ($000s),2017,$0
752869842,Finished goods ($000s),2016,$0
752869842,Finished goods ($000s),2015,$0
752869842,Total inventories ($000s),2024,$0
