duns,line_item,year,value
744287625,Current Assets,2023,
744287625,Current Assets,2022,
744287625,Current Assets,2021,
744287625,Current Assets,2020,
744287625,Current Assets,2019,-
744287625,Current Assets,2018,-
744287625,Current Assets,2017,-
744287625,Current Assets,2016,-
744287625,Current Assets,2015,-
744287625,Current Assets,2014,-
744287625,Cash and cash equivalents ($000s),2023,"$14,840"
744287625,Cash and cash equivalents ($000s),2022,"$19,165"
744287625,Cash and cash equivalents ($000s),2021,"$14,338"
744287625,Cash and cash equivalents ($000s),2020,-
744287625,Cash and cash equivalents ($000s),2019,"$2,243"
744287625,Cash and cash equivalents ($000s),2018,"$2,150"
744287625,Cash and cash equivalents ($000s),2017,-
744287625,Cash and cash equivalents ($000s),2016,-
744287625,Cash and cash equivalents ($000s),2015,-
744287625,Cash and cash equivalents ($000s),2014,-
744287625,Growth,2023,(22.57%)
744287625,Growth,2022,33.67%
744287625,Growth,2021,-
744287625,Growth,2020,-
744287625,Growth,2019,4.33%
744287625,Growth,2018,-
744287625,Growth,2017,-
744287625,Growth,2016,-
744287625,Growth,2015,-
744287625,Growth,2014,-
744287625,Trade receivables ($000s),2023,"$1,662"
744287625,Trade receivables ($000s),2022,"$1,184"
744287625,Trade receivables ($000s),2021,"$1,402"
744287625,Trade receivables ($000s),2020,-
744287625,Trade receivables ($000s),2019,$738
744287625,Trade receivables ($000s),2018,$471
744287625,Trade receivables ($000s),2017,-
744287625,Trade receivables ($000s),2016,-
744287625,Trade receivables ($000s),2015,-
744287625,Trade receivables ($000s),2014,-
744287625,Other receivables ($000s),2023,"$1,071"
744287625,Other receivables ($000s),2022,"$2,111"
744287625,Other receivables ($000s),2021,"$4,555"
744287625,Other receivables ($000s),2020,-
744287625,Other receivables ($000s),2019,$931
744287625,Other receivables ($000s),2018,$129
744287625,Other receivables ($000s),2017,-
744287625,Other receivables ($000s),2016,-
744287625,Other receivables ($000s),2015,-
744287625,Other receivables ($000s),2014,-
744287625,Raw materials ($000s),2023,$0
744287625,Raw materials ($000s),2022,$0
744287625,Raw materials ($000s),2021,$0
744287625,Raw materials ($000s),2020,-
744287625,Raw materials ($000s),2019,$0
744287625,Raw materials ($000s),2018,$0
744287625,Raw materials ($000s),2017,-
744287625,Raw materials ($000s),2016,-
744287625,Raw materials ($000s),2015,-
744287625,Raw materials ($000s),2014,-
744287625,Work-in-progress ($000s),2023,
744287625,Work-in-progress ($000s),2022,
744287625,Work-in-progress ($000s),2021,
744287625,Work-in-progress ($000s),2020,
744287625,Work-in-progress ($000s),2019,-
744287625,Work-in-progress ($000s),2018,-
744287625,Work-in-progress ($000s),2017,-
744287625,Work-in-progress ($000s),2016,-
744287625,Work-in-progress ($000s),2015,-
744287625,Work-in-progress ($000s),2014,-
744287625,Finished goods ($000s),2023,"$4,746"
744287625,Finished goods ($000s),2022,"$2,649"
744287625,Finished goods ($000s),2021,"$1,733"
744287625,Finished goods ($000s),2020,-
744287625,Finished goods ($000s),2019,"$1,690"
744287625,Finished goods ($000s),2018,"$1,408"
744287625,Finished goods ($000s),2017,-
744287625,Finished goods ($000s),2016,-
744287625,Finished goods ($000s),2015,-
744287625,Finished goods ($000s),2014,-
744287625,Total inventories ($000s),2023,"$4,746"
744287625,Total inventories ($000s),2022,"$2,649"
744287625,Total inventories ($000s),2021,"$1,733"
744287625,Total inventories ($000s),2020,-
744287625,Total inventories ($000s),2019,"$1,690"
744287625,Total inventories ($000s),2018,"$1,408"
744287625,Total inventories ($000s),2017,-
744287625,Total inventories ($000s),2016,-
744287625,Total inventories ($000s),2015,-
744287625,Total inventories ($000s),2014,-
744287625,Prepayments ($000s),2023,$36
744287625,Prepayments ($000s),2022,"$3,260"
744287625,Prepayments ($000s),2021,"$4,796"
744287625,Prepayments ($000s),2020,-
744287625,Prepayments ($000s),2019,"$8,195"
744287625,Prepayments ($000s),2018,"$8,818"
744287625,Prepayments ($000s),2017,-
744287625,Prepayments ($000s),2016,-
744287625,Prepayments ($000s),2015,-
744287625,Prepayments ($000s),2014,-
744287625,Derivative financial instruments ($000s),2023,
744287625,Derivative financial instruments ($000s),2022,
744287625,Derivative financial instruments ($000s),2021,
744287625,Derivative financial instruments ($000s),2020,
744287625,Derivative financial instruments ($000s),2019,-
744287625,Derivative financial instruments ($000s),2018,-
