duns,line_item,year,value
758243740,Current Assets,2025,
758243740,Current Assets,2024,
758243740,Current Assets,2023,
758243740,Current Assets,2022,
758243740,Current Assets,2021,-
758243740,Current Assets,2020,-
758243740,Current Assets,2019,-
758243740,Current Assets,2018,-
758243740,Current Assets,2017,-
758243740,Current Assets,2016,-
758243740,Cash and cash equivalents ($000s),2025,"$2,118"
758243740,Cash and cash equivalents ($000s),2024,"$1,306"
758243740,Cash and cash equivalents ($000s),2023,"$2,280"
758243740,Cash and cash equivalents ($000s),2022,"$3,101"
758243740,Cash and cash equivalents ($000s),2021,"$1,845"
758243740,Cash and cash equivalents ($000s),2020,"$1,677"
758243740,Cash and cash equivalents ($000s),2019,$816
758243740,Cash and cash equivalents ($000s),2018,"$3,889"
758243740,Cash and cash equivalents ($000s),2017,"$8,196"
758243740,Cash and cash equivalents ($000s),2016,$622
758243740,Growth,2025,62.17%
758243740,Growth,2024,(42.72%)
758243740,Growth,2023,(26.48%)
758243740,Growth,2022,68.08%
758243740,Growth,2021,10.02%
758243740,Growth,2020,105.51%
758243740,Growth,2019,(79.02%)
758243740,Growth,2018,(52.55%)
758243740,Growth,2017,"1,217.68%"
758243740,Growth,2016,-
758243740,Trade receivables ($000s),2025,"$54,275"
758243740,Trade receivables ($000s),2024,"$35,156"
758243740,Trade receivables ($000s),2023,"$24,268"
758243740,Trade receivables ($000s),2022,"$29,195"
758243740,Trade receivables ($000s),2021,"$37,482"
758243740,Trade receivables ($000s),2020,$0
758243740,Trade receivables ($000s),2019,$0
758243740,Trade receivables ($000s),2018,-
758243740,Trade receivables ($000s),2017,-
758243740,Trade receivables ($000s),2016,-
758243740,Other receivables ($000s),2025,"$1,984"
758243740,Other receivables ($000s),2024,"$1,880"
758243740,Other receivables ($000s),2023,$146
758243740,Other receivables ($000s),2022,"$2,015"
758243740,Other receivables ($000s),2021,"$1,895"
758243740,Other receivables ($000s),2020,"$2,576"
758243740,Other receivables ($000s),2019,"$1,129"
758243740,Other receivables ($000s),2018,$40
758243740,Other receivables ($000s),2017,$13
758243740,Other receivables ($000s),2016,$1
758243740,Raw materials ($000s),2025,$0
758243740,Raw materials ($000s),2024,$0
758243740,Raw materials ($000s),2023,$0
758243740,Raw materials ($000s),2022,$0
758243740,Raw materials ($000s),2021,$0
758243740,Raw materials ($000s),2020,$0
758243740,Raw materials ($000s),2019,$0
758243740,Raw materials ($000s),2018,$0
758243740,Raw materials ($000s),2017,$0
758243740,Raw materials ($000s),2016,$0
758243740,Work-in-progress ($000s),2025,-
758243740,Work-in-progress ($000s),2024,-
758243740,Work-in-progress ($000s),2023,-
758243740,Work-in-progress ($000s),2022,-
758243740,Work-in-progress ($000s),2021,-
758243740,Work-in-progress ($000s),2020,-
758243740,Work-in-progress ($000s),2019,-
758243740,Work-in-progress ($000s),2018,-
758243740,Work-in-progress ($000s),2017,"$4,156"
758243740,Work-in-progress ($000s),2016,"$4,099"
758243740,Finished goods ($000s),2025,"$16,953"
758243740,Finished goods ($000s),2024,"$9,084"
758243740,Finished goods ($000s),2023,"$3,008"
758243740,Finished goods ($000s),2022,"$11,393"
758243740,Finished goods ($000s),2021,$0
758243740,Finished goods ($000s),2020,"$36,000"
758243740,Finished goods ($000s),2019,"$51,696"
758243740,Finished goods ($000s),2018,"$22,028"
758243740,Finished goods ($000s),2017,"$35,336"
758243740,Finished goods ($000s),2016,"$37,980"
758243740,Total inventories ($000s),2025,"$16,953"
758243740,Total inventories ($000s),2024,"$9,084"
758243740,Total inventories ($000s),2023,"$3,008"
758243740,Total inventories ($000s),2022,"$11,393"
758243740,Total inventories ($000s),2021,$0
758243740,Total inventories ($000s),2020,"$36,000"
758243740,Total inventories ($000s),2019,"$51,696"
758243740,Total inventories ($000s),2018,"$22,028"
758243740,Total inventories ($000s),2017,"$39,492"
758243740,Total inventories ($000s),2016,"$42,079"
758243740,Prepayments ($000s),2025,$91
758243740,Prepayments ($000s),2024,"$2,673"
758243740,Prepayments ($000s),2023,$5
758243740,Prepayments ($000s),2022,"$2,268"
758243740,Prepayments ($000s),2021,$9
758243740,Prepayments ($000s),2020,-
758243740,Prepayments ($000s),2019,-
758243740,Prepayments ($000s),2018,$206
758243740,Prepayments ($000s),2017,$308
758243740,Prepayments ($000s),2016,$85
758243740,Derivative financial instruments ($000s),2025,
758243740,Derivative financial instruments ($000s),2024,
758243740,Derivative financial instruments ($000s),2023,
758243740,Derivative financial instruments ($000s),2022,
758243740,Derivative financial instruments ($000s),2021,-
758243740,Derivative financial instruments ($000s),2020,-
758243740,Derivative financial instruments ($000s),2019,-
758243740,Derivative financial instruments ($000s),2018,-
758243740,Derivative financial instruments ($000s),2017,-
758243740,Derivative financial instruments ($000s),2016,-
758243740,Other current assets ($000s),2025,"$1,778"
758243740,Other current assets ($000s),2024,$108
758243740,Other current assets ($000s),2023,"$3,074"
758243740,Other current assets ($000s),2022,$132
758243740,Other current assets ($000s),2021,"$3,816"
758243740,Other current assets ($000s),2020,$268
758243740,Other current assets ($000s),2019,"$1,053"
758243740,Other current assets ($000s),2018,"$1,663"
758243740,Other current assets ($000s),2017,"$1,552"
758243740,Other current assets ($000s),2016,"$1,105"
758243740,Total current assets for continuing operations ($000s),2025,"$77,199"
758243740,Total current assets for continuing operations ($000s),2024,"$50,208"
758243740,Total current assets for continuing operations ($000s),2023,"$32,781"
758243740,Total current assets for continuing operations ($000s),2022,"$48,103"
758243740,Total current assets for continuing operations ($000s),2021,"$45,047"
758243740,Total current assets for continuing operations ($000s),2020,"$40,522"
758243740,Total current assets for continuing operations ($000s),2019,"$54,694"
758243740,Total current assets for continuing operations ($000s),2018,"$27,828"
758243740,Total current assets for continuing operations ($000s),2017,"$49,561"
758243740,Total current assets for continuing operations ($000s),2016,"$43,892"
