duns,line_item,year,value
750817025,Current Assets,2023,
750817025,Current Assets,2022,
750817025,Current Assets,2021,
750817025,Current Assets,2020,
750817025,Current Assets,2019,-
750817025,Current Assets,2018,-
750817025,Current Assets,2017,-
750817025,Current Assets,2016,-
750817025,Current Assets,2015,-
750817025,Current Assets,2014,-
750817025,Cash and cash equivalents ($000s),2023,"$1,535"
750817025,Cash and cash equivalents ($000s),2022,$353
750817025,Cash and cash equivalents ($000s),2021,"$2,332"
750817025,Cash and cash equivalents ($000s),2020,"$1,574"
750817025,Cash and cash equivalents ($000s),2019,"$1,160"
750817025,Cash and cash equivalents ($000s),2018,"$1,140"
750817025,Cash and cash equivalents ($000s),2017,$624
750817025,Cash and cash equivalents ($000s),2016,"$1,027"
750817025,Cash and cash equivalents ($000s),2015,"$1,082"
750817025,Cash and cash equivalents ($000s),2014,"$3,765"
750817025,Growth,2023,334.84%
750817025,Growth,2022,(84.86%)
750817025,Growth,2021,48.16%
750817025,Growth,2020,35.69%
750817025,Growth,2019,1.75%
750817025,Growth,2018,82.69%
750817025,Growth,2017,(39.24%)
750817025,Growth,2016,(5.08%)
750817025,Growth,2015,(71.26%)
750817025,Growth,2014,-
750817025,Trade receivables ($000s),2023,-
750817025,Trade receivables ($000s),2022,$364
750817025,Trade receivables ($000s),2021,"$1,007"
750817025,Trade receivables ($000s),2020,$726
750817025,Trade receivables ($000s),2019,$525
750817025,Trade receivables ($000s),2018,$755
750817025,Trade receivables ($000s),2017,$620
750817025,Trade receivables ($000s),2016,$648
750817025,Trade receivables ($000s),2015,$765
750817025,Trade receivables ($000s),2014,$661
750817025,Other receivables ($000s),2023,$491
750817025,Other receivables ($000s),2022,-
750817025,Other receivables ($000s),2021,-
750817025,Other receivables ($000s),2020,-
750817025,Other receivables ($000s),2019,-
750817025,Other receivables ($000s),2018,-
750817025,Other receivables ($000s),2017,-
750817025,Other receivables ($000s),2016,-
750817025,Other receivables ($000s),2015,-
750817025,Other receivables ($000s),2014,-
750817025,Raw materials ($000s),2023,$0
750817025,Raw materials ($000s),2022,$0
750817025,Raw materials ($000s),2021,$0
750817025,Raw materials ($000s),2020,$0
750817025,Raw materials ($000s),2019,$0
750817025,Raw materials ($000s),2018,$0
750817025,Raw materials ($000s),2017,$0
750817025,Raw materials ($000s),2016,$0
750817025,Raw materials ($000s),2015,$0
750817025,Raw materials ($000s),2014,$0
750817025,Work-in-progress ($000s),2023,
750817025,Work-in-progress ($000s),2022,
750817025,Work-in-progress ($000s),2021,
750817025,Work-in-progress ($000s),2020,
750817025,Work-in-progress ($000s),2019,-
750817025,Work-in-progress ($000s),2018,-
750817025,Work-in-progress ($000s),2017,-
750817025,Work-in-progress ($000s),2016,-
750817025,Work-in-progress ($000s),2015,-
750817025,Work-in-progress ($000s),2014,-
750817025,Finished goods ($000s),2023,$0
750817025,Finished goods ($000s),2022,$0
750817025,Finished goods ($000s),2021,$0
750817025,Finished goods ($000s),2020,$0
750817025,Finished goods ($000s),2019,$0
750817025,Finished goods ($000s),2018,$0
750817025,Finished goods ($000s),2017,$0
750817025,Finished goods ($000s),2016,$0
750817025,Finished goods ($000s),2015,$0
750817025,Finished goods ($000s),2014,$0
750817025,Total inventories ($000s),2023,$0
750817025,Total inventories ($000s),2022,$0
750817025,Total inventories ($000s),2021,$0
750817025,Total inventories ($000s),2020,$0
