duns,industry_code,industry_description,is_primary
752405451,,1041,1
752405451,1041,Gold Ores,0
752405451,5082,Construction and Mining (Except Petroleum) Machinery and Equipment,1
752405451,7699,"Repair Shops and Related Services, Not Elsewhere Classified",0
