duns,industry_code,industry_description,is_primary
752958934,,7991,1
752958934,7991,Physical Fitness Facilities,0
752958934,7997,Membership Sports and Recreation Clubs,1
752958934,7999,"Amusement and Recreation Services, Not Elsewhere Classified",0
