duns,industry_code,industry_description,is_primary
742298797,,6719,1
742298797,6719,"Offices of Holding Companies, Not Elsewhere Classified",0
742298797,7361,Employment Agencies,1
742298797,8721,"Accounting, Auditing and Bookkeeping Services",0
