duns,industry_code,industry_description,is_primary
753504984,,6719,1
753504984,6719,"Offices of Holding Companies, Not Elsewhere Classified",0
753504984,8734,Testing Laboratories,1
753504984,8748,"Business Consulting Services, Not Elsewhere Classified",0
