duns,industry_code,industry_description,is_primary
754942001,,6719,1
754942001,6719,"Offices of Holding Companies, Not Elsewhere Classified",0
754942001,7371,Computer Programming Services,1
754942001,7372,Prepackaged Software,0
754942001,7389,"Business Services, Not Elsewhere Classified",0
