duns,industry_code,industry_description,is_primary
750920295,,6722,1
750920295,6722,"Management Investment Offices, Open-End",1
750920295,6726,"Unit Investment Trusts, Face-Amount Certificate Offices and Closed-End Management Investment Offices",0
