duns,industry_code,industry_description,is_primary
743924677,,2821,1
743924677,2821,"Plastics Materials, Synthetic Resins and Nonvulcanisable Elastomers",1
743924677,2869,"Industrial Organic Chemicals, Not Elsewhere Classified",0
