duns,industry_code,industry_description,is_primary
744493792,,6099,1
744493792,6099,"Functions Related to Depository Banking, Not Elsewhere Classified",0
744493792,6289,"Services Allied with the Exchange of Securities or Commodities, Not Elsewhere Classified",1
