duns,industry_code,industry_description,is_primary
891012320,,6282,1
891012320,6282,Investment Advice,1
891012320,6719,"Offices of Holding Companies, Not Elsewhere Classified",0
891012320,6722,"Management Investment Offices, Open-End",0
891012320,6726,"Unit Investment Trusts, Face-Amount Certificate Offices and Closed-End Management Investment Offices",0
