duns,line_item,year,value
752130810,Revenue from continuing operations ($000s),2023,"$34,342"
752130810,Revenue from continuing operations ($000s),2022,"$38,200"
752130810,Revenue from continuing operations ($000s),2021,-
752130810,Revenue from continuing operations ($000s),2020,-
752130810,Revenue from continuing operations ($000s),2019,-
752130810,Revenue from continuing operations ($000s),2018,-
752130810,Revenue from continuing operations ($000s),2017,-
752130810,Revenue from continuing operations ($000s),2016,-
752130810,Revenue from continuing operations ($000s),2015,-
752130810,Revenue from continuing operations ($000s),2014,-
752130810,Growth,2023,(10.10%)
752130810,Growth,2022,-
752130810,Growth,2021,-
752130810,Growth,2020,-
752130810,Growth,2019,-
752130810,Growth,2018,-
752130810,Growth,2017,-
752130810,Growth,2016,-
752130810,Growth,2015,-
752130810,Growth,2014,-
752130810,Cost of sales ($000s),2023,$0
752130810,Cost of sales ($000s),2022,$0
752130810,Cost of sales ($000s),2021,-
752130810,Cost of sales ($000s),2020,-
752130810,Cost of sales ($000s),2019,-
752130810,Cost of sales ($000s),2018,-
752130810,Cost of sales ($000s),2017,-
752130810,Cost of sales ($000s),2016,-
752130810,Cost of sales ($000s),2015,-
752130810,Cost of sales ($000s),2014,-
752130810,Gross profit ($000s),2023,
752130810,Gross profit ($000s),2022,
752130810,Gross profit ($000s),2021,
752130810,Gross profit ($000s),2020,
752130810,Gross profit ($000s),2019,-
752130810,Gross profit ($000s),2018,-
752130810,Gross profit ($000s),2017,-
752130810,Gross profit ($000s),2016,-
752130810,Gross profit ($000s),2015,-
752130810,Gross profit ($000s),2014,-
752130810,Other income ($000s),2023,
752130810,Other income ($000s),2022,
752130810,Other income ($000s),2021,
752130810,Other income ($000s),2020,
752130810,Other income ($000s),2019,-
752130810,Other income ($000s),2018,-
752130810,Other income ($000s),2017,-
752130810,Other income ($000s),2016,-
752130810,Other income ($000s),2015,-
752130810,Other income ($000s),2014,-
752130810,Administrative expenses ($000s),2023,
752130810,Administrative expenses ($000s),2022,
752130810,Administrative expenses ($000s),2021,
752130810,Administrative expenses ($000s),2020,
752130810,Administrative expenses ($000s),2019,-
752130810,Administrative expenses ($000s),2018,-
752130810,Administrative expenses ($000s),2017,-
752130810,Administrative expenses ($000s),2016,-
752130810,Administrative expenses ($000s),2015,-
752130810,Administrative expenses ($000s),2014,-
752130810,Finance costs ($000s),2023,($109)
752130810,Finance costs ($000s),2022,($30)
752130810,Finance costs ($000s),2021,-
752130810,Finance costs ($000s),2020,-
752130810,Finance costs ($000s),2019,-
752130810,Finance costs ($000s),2018,-
752130810,Finance costs ($000s),2017,-
752130810,Finance costs ($000s),2016,-
752130810,Finance costs ($000s),2015,-
752130810,Finance costs ($000s),2014,-
752130810,Share of associate profits/(losses) ($000s),2023,
752130810,Share of associate profits/(losses) ($000s),2022,
752130810,Share of associate profits/(losses) ($000s),2021,
752130810,Share of associate profits/(losses) ($000s),2020,
752130810,Share of associate profits/(losses) ($000s),2019,-
752130810,Share of associate profits/(losses) ($000s),2018,-
752130810,Share of associate profits/(losses) ($000s),2017,-
752130810,Share of associate profits/(losses) ($000s),2016,-
752130810,Share of associate profits/(losses) ($000s),2015,-
752130810,Share of associate profits/(losses) ($000s),2014,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2023,"$3,306"
752130810,Profit/(loss) from continuing operations before income tax ($000s),2022,"$3,562"
752130810,Profit/(loss) from continuing operations before income tax ($000s),2021,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2020,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2019,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2018,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2017,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2016,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2015,-
752130810,Profit/(loss) from continuing operations before income tax ($000s),2014,-
752130810,Income tax expense ($000s),2023,"($1,047)"
752130810,Income tax expense ($000s),2022,"($1,061)"
752130810,Income tax expense ($000s),2021,-
752130810,Income tax expense ($000s),2020,-
752130810,Income tax expense ($000s),2019,-
752130810,Income tax expense ($000s),2018,-
752130810,Income tax expense ($000s),2017,-
752130810,Income tax expense ($000s),2016,-
752130810,Income tax expense ($000s),2015,-
752130810,Income tax expense ($000s),2014,-
752130810,Profit from continuing operations after income tax ($000s),2023,"$2,260"
752130810,Profit from continuing operations after income tax ($000s),2022,"$2,501"
752130810,Profit from continuing operations after income tax ($000s),2021,-
752130810,Profit from continuing operations after income tax ($000s),2020,-
752130810,Profit from continuing operations after income tax ($000s),2019,-
752130810,Profit from continuing operations after income tax ($000s),2018,-
752130810,Profit from continuing operations after income tax ($000s),2017,-
752130810,Profit from continuing operations after income tax ($000s),2016,-
752130810,Profit from continuing operations after income tax ($000s),2015,-
752130810,Profit from continuing operations after income tax ($000s),2014,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2023,
752130810,Profit/(loss) from discontinued operations after tax ($000s),2022,
752130810,Profit/(loss) from discontinued operations after tax ($000s),2021,
752130810,Profit/(loss) from discontinued operations after tax ($000s),2020,
752130810,Profit/(loss) from discontinued operations after tax ($000s),2019,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2018,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2017,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2016,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2015,-
752130810,Profit/(loss) from discontinued operations after tax ($000s),2014,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2023,
752130810,Profit/(loss) from restructuring activites after tax ($000s),2022,
752130810,Profit/(loss) from restructuring activites after tax ($000s),2021,
752130810,Profit/(loss) from restructuring activites after tax ($000s),2020,
752130810,Profit/(loss) from restructuring activites after tax ($000s),2019,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2018,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2017,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2016,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2015,-
752130810,Profit/(loss) from restructuring activites after tax ($000s),2014,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2023,
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2022,
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2021,
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2020,
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2019,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2018,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2017,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2016,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2015,-
752130810,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2014,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2023,
752130810,Profit/(loss) from disposals of investments after tax ($000s),2022,
752130810,Profit/(loss) from disposals of investments after tax ($000s),2021,
752130810,Profit/(loss) from disposals of investments after tax ($000s),2020,
752130810,Profit/(loss) from disposals of investments after tax ($000s),2019,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2018,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2017,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2016,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2015,-
752130810,Profit/(loss) from disposals of investments after tax ($000s),2014,-
752130810,Net profit for the period ($000s),2023,"$2,260"
752130810,Net profit for the period ($000s),2022,"$2,501"
752130810,Net profit for the period ($000s),2021,-
752130810,Net profit for the period ($000s),2020,-
752130810,Net profit for the period ($000s),2019,-
752130810,Net profit for the period ($000s),2018,-
752130810,Net profit for the period ($000s),2017,-
752130810,Net profit for the period ($000s),2016,-
752130810,Net profit for the period ($000s),2015,-
752130810,Net profit for the period ($000s),2014,-
752130810,Attributable To:,2023,
752130810,Attributable To:,2022,
752130810,Attributable To:,2021,
752130810,Attributable To:,2020,
752130810,Attributable To:,2019,-
752130810,Attributable To:,2018,-
752130810,Attributable To:,2017,-
752130810,Attributable To:,2016,-
752130810,Attributable To:,2015,-
752130810,Attributable To:,2014,-
752130810,Minority interest ($000s),2023,
752130810,Minority interest ($000s),2022,
752130810,Minority interest ($000s),2021,
752130810,Minority interest ($000s),2020,
752130810,Minority interest ($000s),2019,-
752130810,Minority interest ($000s),2018,-
752130810,Minority interest ($000s),2017,-
752130810,Minority interest ($000s),2016,-
752130810,Minority interest ($000s),2015,-
752130810,Minority interest ($000s),2014,-
752130810,Members of the parent ($000s),2023,
752130810,Members of the parent ($000s),2022,
752130810,Members of the parent ($000s),2021,
752130810,Members of the parent ($000s),2020,
752130810,Members of the parent ($000s),2019,-
752130810,Members of the parent ($000s),2018,-
752130810,Members of the parent ($000s),2017,-
752130810,Members of the parent ($000s),2016,-
752130810,Members of the parent ($000s),2015,-
752130810,Members of the parent ($000s),2014,-
752130810,Weighted average number of ordinary shares for basic earnings per share (000s),2023,
752130810,Weighted average number of ordinary shares for basic earnings per share (000s),2022,
