duns,line_item,year,value
744114473,Revenue from continuing operations ($000s),2024,"$31,290"
744114473,Revenue from continuing operations ($000s),2023,"$31,260"
744114473,Revenue from continuing operations ($000s),2022,"$34,838"
744114473,Revenue from continuing operations ($000s),2021,"$33,358"
744114473,Revenue from continuing operations ($000s),2020,"$34,540"
744114473,Revenue from continuing operations ($000s),2019,"$33,873"
744114473,Revenue from continuing operations ($000s),2018,"$30,120"
744114473,Revenue from continuing operations ($000s),2017,-
744114473,Revenue from continuing operations ($000s),2016,"$28,407"
744114473,Revenue from continuing operations ($000s),2015,"$20,167"
744114473,Growth,2024,0.10%
744114473,Growth,2023,(10.27%)
744114473,Growth,2022,4.44%
744114473,Growth,2021,(3.42%)
744114473,Growth,2020,1.97%
744114473,Growth,2019,12.46%
744114473,Growth,2018,-
744114473,Growth,2017,-
744114473,Growth,2016,40.86%
744114473,Growth,2015,-
744114473,Cost of sales ($000s),2024,$0
744114473,Cost of sales ($000s),2023,$0
744114473,Cost of sales ($000s),2022,$0
744114473,Cost of sales ($000s),2021,$0
744114473,Cost of sales ($000s),2020,$0
744114473,Cost of sales ($000s),2019,$0
744114473,Cost of sales ($000s),2018,$0
744114473,Cost of sales ($000s),2017,-
744114473,Cost of sales ($000s),2016,$0
744114473,Cost of sales ($000s),2015,$0
744114473,Gross profit ($000s),2024,
744114473,Gross profit ($000s),2023,
744114473,Gross profit ($000s),2022,
744114473,Gross profit ($000s),2021,
744114473,Gross profit ($000s),2020,-
744114473,Gross profit ($000s),2019,-
744114473,Gross profit ($000s),2018,-
744114473,Gross profit ($000s),2017,-
744114473,Gross profit ($000s),2016,-
744114473,Gross profit ($000s),2015,-
744114473,Other income ($000s),2024,-
744114473,Other income ($000s),2023,-
744114473,Other income ($000s),2022,-
744114473,Other income ($000s),2021,-
744114473,Other income ($000s),2020,"$2,704"
744114473,Other income ($000s),2019,$30
744114473,Other income ($000s),2018,$233
744114473,Other income ($000s),2017,-
744114473,Other income ($000s),2016,-
744114473,Other income ($000s),2015,-
744114473,Administrative expenses ($000s),2024,-
744114473,Administrative expenses ($000s),2023,-
744114473,Administrative expenses ($000s),2022,-
744114473,Administrative expenses ($000s),2021,-
744114473,Administrative expenses ($000s),2020,-
744114473,Administrative expenses ($000s),2019,"($7,148)"
744114473,Administrative expenses ($000s),2018,"($6,356)"
744114473,Administrative expenses ($000s),2017,-
744114473,Administrative expenses ($000s),2016,"($7,431)"
744114473,Administrative expenses ($000s),2015,"($5,582)"
744114473,Finance costs ($000s),2024,($159)
744114473,Finance costs ($000s),2023,($126)
744114473,Finance costs ($000s),2022,($74)
744114473,Finance costs ($000s),2021,($41)
744114473,Finance costs ($000s),2020,($43)
744114473,Finance costs ($000s),2019,$0
744114473,Finance costs ($000s),2018,$0
744114473,Finance costs ($000s),2017,-
744114473,Finance costs ($000s),2016,$0
744114473,Finance costs ($000s),2015,$0
744114473,Share of associate profits/(losses) ($000s),2024,
744114473,Share of associate profits/(losses) ($000s),2023,
744114473,Share of associate profits/(losses) ($000s),2022,
744114473,Share of associate profits/(losses) ($000s),2021,
744114473,Share of associate profits/(losses) ($000s),2020,-
744114473,Share of associate profits/(losses) ($000s),2019,-
744114473,Share of associate profits/(losses) ($000s),2018,-
744114473,Share of associate profits/(losses) ($000s),2017,-
744114473,Share of associate profits/(losses) ($000s),2016,-
744114473,Share of associate profits/(losses) ($000s),2015,-
744114473,Profit/(loss) from continuing operations before income tax ($000s),2024,"($2,047)"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2023,"($2,781)"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2022,"($2,467)"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2021,"$2,662"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2020,"$2,717"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2019,"$1,325"
744114473,Profit/(loss) from continuing operations before income tax ($000s),2018,$186
744114473,Profit/(loss) from continuing operations before income tax ($000s),2017,-
744114473,Profit/(loss) from continuing operations before income tax ($000s),2016,$972
744114473,Profit/(loss) from continuing operations before income tax ($000s),2015,$310
744114473,Income tax expense ($000s),2024,
744114473,Income tax expense ($000s),2023,
744114473,Income tax expense ($000s),2022,
744114473,Income tax expense ($000s),2021,
744114473,Income tax expense ($000s),2020,-
744114473,Income tax expense ($000s),2019,-
744114473,Income tax expense ($000s),2018,-
744114473,Income tax expense ($000s),2017,-
744114473,Income tax expense ($000s),2016,-
744114473,Income tax expense ($000s),2015,-
744114473,Profit from continuing operations after income tax ($000s),2024,"($2,047)"
