duns,line_item,year,value
747720865,Revenue from continuing operations ($000s),2024,"$31,076"
747720865,Revenue from continuing operations ($000s),2023,-
747720865,Revenue from continuing operations ($000s),2022,"$34,707"
747720865,Revenue from continuing operations ($000s),2021,"$28,934"
747720865,Revenue from continuing operations ($000s),2020,"$27,831"
747720865,Revenue from continuing operations ($000s),2019,"$32,133"
747720865,Revenue from continuing operations ($000s),2018,"$28,740"
747720865,Revenue from continuing operations ($000s),2017,"$23,469"
747720865,Revenue from continuing operations ($000s),2016,"$15,634"
747720865,Growth,2024,-
747720865,Growth,2023,-
747720865,Growth,2022,19.95%
747720865,Growth,2021,3.96%
747720865,Growth,2020,(13.39%)
747720865,Growth,2019,11.81%
747720865,Growth,2018,22.46%
747720865,Growth,2017,50.12%
747720865,Growth,2016,-
747720865,Cost of sales ($000s),2024,$0
747720865,Cost of sales ($000s),2023,-
747720865,Cost of sales ($000s),2022,$0
747720865,Cost of sales ($000s),2021,$0
747720865,Cost of sales ($000s),2020,$0
747720865,Cost of sales ($000s),2019,$0
747720865,Cost of sales ($000s),2018,$0
747720865,Cost of sales ($000s),2017,$0
747720865,Cost of sales ($000s),2016,$0
747720865,Gross profit ($000s),2024,
747720865,Gross profit ($000s),2023,
747720865,Gross profit ($000s),2022,
747720865,Gross profit ($000s),2021,
747720865,Gross profit ($000s),2020,-
747720865,Gross profit ($000s),2019,-
747720865,Gross profit ($000s),2018,-
747720865,Gross profit ($000s),2017,-
747720865,Gross profit ($000s),2016,-
747720865,Other income ($000s),2024,$490
747720865,Other income ($000s),2023,-
747720865,Other income ($000s),2022,$843
747720865,Other income ($000s),2021,$706
747720865,Other income ($000s),2020,$375
747720865,Other income ($000s),2019,-
747720865,Other income ($000s),2018,$26
747720865,Other income ($000s),2017,-
747720865,Other income ($000s),2016,-
747720865,Administrative expenses ($000s),2024,"($30,340)"
747720865,Administrative expenses ($000s),2023,-
747720865,Administrative expenses ($000s),2022,"($34,286)"
747720865,Administrative expenses ($000s),2021,"($28,930)"
747720865,Administrative expenses ($000s),2020,"($5,037)"
747720865,Administrative expenses ($000s),2019,"($5,113)"
