duns,line_item,year,value
753060920,Revenue from continuing operations ($000s),2024,"$33,003"
753060920,Revenue from continuing operations ($000s),2023,"$20,995"
753060920,Revenue from continuing operations ($000s),2022,"$16,539"
753060920,Revenue from continuing operations ($000s),2021,"$15,316"
753060920,Revenue from continuing operations ($000s),2020,"$14,918"
753060920,Revenue from continuing operations ($000s),2019,"$19,302"
753060920,Revenue from continuing operations ($000s),2018,"$10,958"
753060920,Revenue from continuing operations ($000s),2017,"$14,561"
753060920,Revenue from continuing operations ($000s),2016,"$14,852"
753060920,Revenue from continuing operations ($000s),2015,"$15,645"
753060920,Growth,2024,57.19%
753060920,Growth,2023,26.94%
753060920,Growth,2022,7.99%
753060920,Growth,2021,2.67%
753060920,Growth,2020,(22.71%)
753060920,Growth,2019,76.15%
753060920,Growth,2018,(24.74%)
753060920,Growth,2017,(1.96%)
753060920,Growth,2016,(5.07%)
753060920,Growth,2015,-
753060920,Cost of sales ($000s),2024,$0
753060920,Cost of sales ($000s),2023,$0
753060920,Cost of sales ($000s),2022,$0
753060920,Cost of sales ($000s),2021,$0
753060920,Cost of sales ($000s),2020,$0
753060920,Cost of sales ($000s),2019,$0
753060920,Cost of sales ($000s),2018,$0
753060920,Cost of sales ($000s),2017,$0
753060920,Cost of sales ($000s),2016,$0
753060920,Cost of sales ($000s),2015,$0
753060920,Gross profit ($000s),2024,
753060920,Gross profit ($000s),2023,
753060920,Gross profit ($000s),2022,
753060920,Gross profit ($000s),2021,
753060920,Gross profit ($000s),2020,-
753060920,Gross profit ($000s),2019,-
753060920,Gross profit ($000s),2018,-
753060920,Gross profit ($000s),2017,-
753060920,Gross profit ($000s),2016,-
753060920,Gross profit ($000s),2015,-
753060920,Other income ($000s),2024,"$6,886"
753060920,Other income ($000s),2023,$657
753060920,Other income ($000s),2022,-
753060920,Other income ($000s),2021,-
753060920,Other income ($000s),2020,$140
753060920,Other income ($000s),2019,-
753060920,Other income ($000s),2018,-
753060920,Other income ($000s),2017,-
753060920,Other income ($000s),2016,-
753060920,Other income ($000s),2015,-
753060920,Administrative expenses ($000s),2024,"($1,602)"
753060920,Administrative expenses ($000s),2023,"($6,246)"
753060920,Administrative expenses ($000s),2022,-
753060920,Administrative expenses ($000s),2021,-
753060920,Administrative expenses ($000s),2020,-
753060920,Administrative expenses ($000s),2019,"($8,741)"
753060920,Administrative expenses ($000s),2018,"($5,982)"
753060920,Administrative expenses ($000s),2017,"($3,827)"
753060920,Administrative expenses ($000s),2016,"($3,762)"
753060920,Administrative expenses ($000s),2015,"($8,029)"
753060920,Finance costs ($000s),2024,($873)
