duns,line_item,year,value
744151743,Revenue from continuing operations ($000s),2024,"$32,848"
744151743,Revenue from continuing operations ($000s),2023,"$11,378"
744151743,Revenue from continuing operations ($000s),2022,"$10,626"
744151743,Revenue from continuing operations ($000s),2021,"$19,451"
744151743,Revenue from continuing operations ($000s),2020,"$8,962"
744151743,Revenue from continuing operations ($000s),2019,"$5,577"
744151743,Revenue from continuing operations ($000s),2018,"$1,172"
744151743,Revenue from continuing operations ($000s),2017,$554
744151743,Revenue from continuing operations ($000s),2016,-
744151743,Revenue from continuing operations ($000s),2015,-
744151743,Growth,2024,188.70%
744151743,Growth,2023,7.08%
744151743,Growth,2022,(45.37%)
744151743,Growth,2021,117.04%
744151743,Growth,2020,60.70%
744151743,Growth,2019,375.85%
744151743,Growth,2018,111.55%
744151743,Growth,2017,-
744151743,Growth,2016,-
744151743,Growth,2015,-
744151743,Cost of sales ($000s),2024,"($19,651)"
744151743,Cost of sales ($000s),2023,"($16,177)"
744151743,Cost of sales ($000s),2022,$0
744151743,Cost of sales ($000s),2021,"($11,372)"
744151743,Cost of sales ($000s),2020,"($9,451)"
744151743,Cost of sales ($000s),2019,"($2,583)"
744151743,Cost of sales ($000s),2018,($574)
744151743,Cost of sales ($000s),2017,($364)
744151743,Cost of sales ($000s),2016,-
744151743,Cost of sales ($000s),2015,-
744151743,Gross profit ($000s),2024,"$13,198"
744151743,Gross profit ($000s),2023,"($4,799)"
744151743,Gross profit ($000s),2022,-
744151743,Gross profit ($000s),2021,"$8,079"
744151743,Gross profit ($000s),2020,($489)
744151743,Gross profit ($000s),2019,"$2,994"
744151743,Gross profit ($000s),2018,$598
744151743,Gross profit ($000s),2017,$189
744151743,Gross profit ($000s),2016,-
744151743,Gross profit ($000s),2015,-
744151743,Other income ($000s),2024,$399
744151743,Other income ($000s),2023,-
744151743,Other income ($000s),2022,$144
744151743,Other income ($000s),2021,$722
744151743,Other income ($000s),2020,$269
744151743,Other income ($000s),2019,$9
744151743,Other income ($000s),2018,$383
744151743,Other income ($000s),2017,$189
744151743,Other income ($000s),2016,-
744151743,Other income ($000s),2015,-
744151743,Administrative expenses ($000s),2024,"($1,032)"
744151743,Administrative expenses ($000s),2023,($941)
744151743,Administrative expenses ($000s),2022,($398)
744151743,Administrative expenses ($000s),2021,($676)
744151743,Administrative expenses ($000s),2020,($659)
744151743,Administrative expenses ($000s),2019,"($1,745)"
744151743,Administrative expenses ($000s),2018,($573)
744151743,Administrative expenses ($000s),2017,($364)
744151743,Administrative expenses ($000s),2016,-
744151743,Administrative expenses ($000s),2015,-
744151743,Finance costs ($000s),2024,"($4,094)"
744151743,Finance costs ($000s),2023,"($3,314)"
744151743,Finance costs ($000s),2022,"($1,383)"
744151743,Finance costs ($000s),2021,"($2,621)"
744151743,Finance costs ($000s),2020,"($2,239)"
744151743,Finance costs ($000s),2019,"($1,318)"
744151743,Finance costs ($000s),2018,($645)
744151743,Finance costs ($000s),2017,($179)
744151743,Finance costs ($000s),2016,-
744151743,Finance costs ($000s),2015,-
744151743,Share of associate profits/(losses) ($000s),2024,
744151743,Share of associate profits/(losses) ($000s),2023,
744151743,Share of associate profits/(losses) ($000s),2022,
744151743,Share of associate profits/(losses) ($000s),2021,
744151743,Share of associate profits/(losses) ($000s),2020,-
744151743,Share of associate profits/(losses) ($000s),2019,-
744151743,Share of associate profits/(losses) ($000s),2018,-
744151743,Share of associate profits/(losses) ($000s),2017,-
744151743,Share of associate profits/(losses) ($000s),2016,-
744151743,Share of associate profits/(losses) ($000s),2015,-
744151743,Profit/(loss) from continuing operations before income tax ($000s),2024,$741
744151743,Profit/(loss) from continuing operations before income tax ($000s),2023,"($15,612)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2022,($805)
744151743,Profit/(loss) from continuing operations before income tax ($000s),2021,"($2,330)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2020,"($11,519)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2019,"($2,470)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2018,"($2,020)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2017,"($1,020)"
744151743,Profit/(loss) from continuing operations before income tax ($000s),2016,-
744151743,Profit/(loss) from continuing operations before income tax ($000s),2015,-
744151743,Income tax expense ($000s),2024,($265)
744151743,Income tax expense ($000s),2023,"$4,684"
744151743,Income tax expense ($000s),2022,$241
744151743,Income tax expense ($000s),2021,$699
744151743,Income tax expense ($000s),2020,"$3,456"
744151743,Income tax expense ($000s),2019,$741
744151743,Income tax expense ($000s),2018,$606
744151743,Income tax expense ($000s),2017,$306
744151743,Income tax expense ($000s),2016,-
744151743,Income tax expense ($000s),2015,-
744151743,Profit from continuing operations after income tax ($000s),2024,$476
744151743,Profit from continuing operations after income tax ($000s),2023,"($10,929)"
744151743,Profit from continuing operations after income tax ($000s),2022,($563)
744151743,Profit from continuing operations after income tax ($000s),2021,"($1,631)"
744151743,Profit from continuing operations after income tax ($000s),2020,"($8,063)"
744151743,Profit from continuing operations after income tax ($000s),2019,"($1,729)"
744151743,Profit from continuing operations after income tax ($000s),2018,"($1,414)"
744151743,Profit from continuing operations after income tax ($000s),2017,($714)
744151743,Profit from continuing operations after income tax ($000s),2016,-
744151743,Profit from continuing operations after income tax ($000s),2015,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2024,
744151743,Profit/(loss) from discontinued operations after tax ($000s),2023,
744151743,Profit/(loss) from discontinued operations after tax ($000s),2022,
744151743,Profit/(loss) from discontinued operations after tax ($000s),2021,
744151743,Profit/(loss) from discontinued operations after tax ($000s),2020,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2019,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2018,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2017,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2016,-
744151743,Profit/(loss) from discontinued operations after tax ($000s),2015,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2024,
744151743,Profit/(loss) from restructuring activites after tax ($000s),2023,
744151743,Profit/(loss) from restructuring activites after tax ($000s),2022,
744151743,Profit/(loss) from restructuring activites after tax ($000s),2021,
744151743,Profit/(loss) from restructuring activites after tax ($000s),2020,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2019,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2018,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2017,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2016,-
744151743,Profit/(loss) from restructuring activites after tax ($000s),2015,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2024,
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2023,
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2022,
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2021,
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2020,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2019,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2018,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2017,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2016,-
744151743,"Profit/(loss) from disposals of property, plant and equipment after tax ($000s)",2015,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2024,
744151743,Profit/(loss) from disposals of investments after tax ($000s),2023,
744151743,Profit/(loss) from disposals of investments after tax ($000s),2022,
744151743,Profit/(loss) from disposals of investments after tax ($000s),2021,
744151743,Profit/(loss) from disposals of investments after tax ($000s),2020,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2019,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2018,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2017,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2016,-
744151743,Profit/(loss) from disposals of investments after tax ($000s),2015,-
744151743,Net profit for the period ($000s),2024,$476
744151743,Net profit for the period ($000s),2023,"($10,929)"
744151743,Net profit for the period ($000s),2022,($563)
744151743,Net profit for the period ($000s),2021,"($1,631)"
744151743,Net profit for the period ($000s),2020,"($8,063)"
744151743,Net profit for the period ($000s),2019,"($1,729)"
744151743,Net profit for the period ($000s),2018,"($1,414)"
744151743,Net profit for the period ($000s),2017,($714)
744151743,Net profit for the period ($000s),2016,-
744151743,Net profit for the period ($000s),2015,-
744151743,Attributable To:,2024,
744151743,Attributable To:,2023,
744151743,Attributable To:,2022,
744151743,Attributable To:,2021,
744151743,Attributable To:,2020,-
744151743,Attributable To:,2019,-
744151743,Attributable To:,2018,-
744151743,Attributable To:,2017,-
744151743,Attributable To:,2016,-
744151743,Attributable To:,2015,-
744151743,Minority interest ($000s),2024,($143)
744151743,Minority interest ($000s),2023,-
744151743,Minority interest ($000s),2022,-
744151743,Minority interest ($000s),2021,-
744151743,Minority interest ($000s),2020,-
744151743,Minority interest ($000s),2019,-
744151743,Minority interest ($000s),2018,-
744151743,Minority interest ($000s),2017,-
744151743,Minority interest ($000s),2016,-
744151743,Minority interest ($000s),2015,-
744151743,Members of the parent ($000s),2024,$619
744151743,Members of the parent ($000s),2023,"($10,929)"
744151743,Members of the parent ($000s),2022,($563)
744151743,Members of the parent ($000s),2021,"($1,631)"
744151743,Members of the parent ($000s),2020,-
744151743,Members of the parent ($000s),2019,"($1,729)"
744151743,Members of the parent ($000s),2018,-
744151743,Members of the parent ($000s),2017,-
744151743,Members of the parent ($000s),2016,-
744151743,Members of the parent ($000s),2015,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2024,
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2023,
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2022,
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2021,
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2020,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2019,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2018,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2017,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2016,-
744151743,Weighted average number of ordinary shares for basic earnings per share (000s),2015,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2024,
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2023,
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2022,
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2021,
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2020,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2019,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2018,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2017,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2016,-
744151743,Weighted average number of ordinary shares for diluted earnings per share (000s),2015,-
744151743,Basic earnings per share from continuing operations (cents),2024,
744151743,Basic earnings per share from continuing operations (cents),2023,
744151743,Basic earnings per share from continuing operations (cents),2022,
744151743,Basic earnings per share from continuing operations (cents),2021,
744151743,Basic earnings per share from continuing operations (cents),2020,-
744151743,Basic earnings per share from continuing operations (cents),2019,-
744151743,Basic earnings per share from continuing operations (cents),2018,-
744151743,Basic earnings per share from continuing operations (cents),2017,-
744151743,Basic earnings per share from continuing operations (cents),2016,-
744151743,Basic earnings per share from continuing operations (cents),2015,-
744151743,Diluted earnings per share from continuing operations (cents),2024,
744151743,Diluted earnings per share from continuing operations (cents),2023,
744151743,Diluted earnings per share from continuing operations (cents),2022,
744151743,Diluted earnings per share from continuing operations (cents),2021,
744151743,Diluted earnings per share from continuing operations (cents),2020,-
744151743,Diluted earnings per share from continuing operations (cents),2019,-
