duns,field,value
744879597,Physical Address,"LEVEL 19 109 ST GEORGES TERRACE, PERTH, 6000, WA, Australia"
744879597,DUNS,744879597
744879597,ACN,621414659
744879597,ABN,64621414659
744879597,Company Type,Private
744879597,Line of Business,PROVIDES LITHIUM MINERAL MINING EXPLORATION SERVICES
744879597,Primary SIC,"1479 - Chemical and Fertiliser Mineral Mining, Not Elsewhere Classified"
744879597,Import/Export,Neither
744879597,Registered Name,SQM AUSTRALIA PTY LTD
744879597,Postal Address,"LEVEL 19 109 ST GEORGES TERRACE, PERTH, 6000, WA, Australia"
744879597,ASIC Status,Registered
744879597,ASIC Company Type,Australian proprietary company
744879597,ASIC Company Class,Limited by shares
744879597,ASIC Company Sub-Class,Proprietary company
