duns,person_name,title,responsibilities
756364998,Richard Edwin  Sims,Director,Director
756364998,Andrew David  Johnson,Company Secretary,Company Secretary
756364998,Philip Edgar  Sims,CEO AND DIRECTOR,Director
756364998,Belinda   McNamara,Executive Assistant,Operations Decision Maker
756364998,Andrew   David Johnson,Financial Controller & Joint Company Secretary,Financial Decision Maker
756364998,Pascal   Erdmann,Production Manager,Operations Decision Maker
756364998,Jim   Warwood,Financial Controller & Joint Company Secretary,Financial Decision Maker
756364998,Mark   Williamson,National Sales Manager,Sales Decision Maker
756364998,Polly   Love,PR & Communications Manager,Marketing Decision Maker
756364998,Barbara   Weber,Purchasing Officer,Purchasing
