duns,person_name,title,responsibilities
744840620,Vaughan Arthur John Whitworth,Director,Director
744840620,Manjinder   Singh,Director,Director
744840620,Lauren Claire  Battams,Director,Director
744840620,Johannes Francois Cornelius Louw,Company Secretary,Company Secretary
744840620,Frances Rose  Hoyte,Director,Director
744840620,Chloe Mary  Henry,Director,Director
744840620,Kerryn Jane  Campbell,Director,Director
744840620,Michael Charles  Buckingham,Director,Director
744840620,Philip Charles  Johnstone,Director,Director
744840620,Johan   Louw,Director of Business and Finance,Financial Decision Maker
744840620,Daniel   Walker,Principal,"Chief Executive Officer,Human Resources Decision Maker,IT Decision Maker,Marketing Decision Maker,Operations Decision Maker,Purchasing,Sales Decision Maker"
