duns,person_name,title,responsibilities
753006485,Gregory David  Gason,Director,Director
753006485,Wayne   Gason,Director,Director
753006485,Hugh Gerard  O'Donnell,Director,Director
753006485,Jessie Helen  Harman,Director,Director
753006485,Leon Gerard  Nash,Company Secretary,Company Secretary
753006485,Morgan Wayne  Gason,Director,Director
753006485,Andrew   Kemp,Human Resources Manager,Human Resources Decision Maker
753006485,Mark   Piddington,IT Manager,IT Decision Maker
753006485,David   Smellin,Supply Manager,Purchasing
753006485,Peter   Piddington,National Sales & Marketing Manager,"Marketing Decision Maker,Sales Decision Maker"
