duns,person_name,title,responsibilities
758394035,Gavan Anthony  Nolan,Director,Director
758394035,Julie Helen  Guest,Director,Director
758394035,Stephen Wayne  Sampson,Director,Director
758394035,Fiona Ann  Shanks,Director,Director
758394035,Allison Mary  Jenvey,Director,Director
758394035,Michael Andrew  Mack,Company Secretary,Company Secretary
758394035,Matthew Paul  Grogan,Director,Director
758394035,Robert Ian  McKie,Director,Director
758394035,Michael   Mack,CHIEF EXECUTIVE OFFICER,"Chief Executive Officer,Purchasing"
758394035,Jennie   Kotzur,Finance Manager,Financial Decision Maker
758394035,Frank   Sergi,IT &  Systems Manager,IT Decision Maker
758394035,David   Iverson,Director,Human Resources Decision Maker
758394035,Paul   Vaccaro,Sales Manager,"Marketing Decision Maker,Operations Decision Maker"
