duns,person_name,title,responsibilities
749737169,Patrick Joseph  McCrudden,Director,Director
749737169,David Arnold  Newnham,Director,Director
749737169,Michael Dowell  Purnell,Director,Director
749737169,Grant Wallace  Donald,Director,Director
749737169,Jennifer Mary  Acton,Director,Director
749737169,Michael John  Paynter,Director,Director
749737169,Michelle Elaine  McLean,Director,Director
749737169,David Campbell  St John,Director,Director
749737169,Stephen   Fodrocy,Director,Director
749737169,Ivan   Balta,Director,Director
749737169,Paolo Graham  Giumarra,Director,Director
749737169,John   Dalla Fontana,Company Secretary,Company Secretary
749737169,John   Hartley,Chief Executive Officer,"Chief Executive Officer,Financial Decision Maker,Human Resources Decision Maker,IT Decision Maker,Marketing Decision Maker,Operations Decision Maker,Purchasing,Sales Decision Maker"
