duns,person_name,title,responsibilities
752044545,Anatoly   Borusiewicz,Director,Director
752044545,Terrence James  Lynam,Director,Director
752044545,David John  Williams,Director,Director
752044545,Stephen Geoffrey  Olle,Director,Director
752044545,Jason Alan  Wale,Company Secretary,Company Secretary
752044545,Samuel Michael Phillip Marino,Director,Director
752044545,Ken   Payne,Director,Director
752044545,Joanne   Parisi,Director,Director
752044545,Reginald John  Lillywhite,Director,Director
752044545,Trish   Juhas,Human Resources Manager,Human Resources Decision Maker
752044545,Karen   Adams,Marketing Manager,Marketing Decision Maker
752044545,Mike   Diversi,Financial Controller,Financial Decision Maker
