duns,person_name,title,responsibilities
750974446,Antony   Tee,Director,Director
750974446,Daniel   Spiller,Director,Director
750974446,Kit   Lee,Director,Director
750974446,Nicholas   Chiang,Company Secretary,Company Secretary
750974446,Craig   Balthes,Operations Manager - Western Corridor Project,Operations Decision Maker
750974446,Kate   Simpson,Project Engineer - Fairfield Recycled Water Treatment Plant Sydney,Operations Decision Maker
750974446,Christopher   Godfrey,Chief Financial Officer,Financial Decision Maker
750974446,Kim   Beardsmord,Human Resources Manager,Human Resources Decision Maker
750974446,Karen   Arkinstall,IT Manager,IT Decision Maker
750974446,Alex   Lagny,General Manager,Sales Decision Maker
750974446,Alicia   Alford,Marketing Officer,Marketing Decision Maker
750974446,Brett   Beattie,Procurement Manager,Purchasing
