duns,person_name,title,responsibilities
758960025,Karl   Morris,Director,Director
758960025,Neil   Monaghan,Director,Director
758960025,Vicki   Wilson,Director,Director
758960025,Louise Anna  Lanigan,Company Secretary,Company Secretary
758960025,Shirley   Moro,Chief Financial Officer,Financial Decision Maker
758960025,Stephen   Buckley,Manager - Marketing & Communications,Marketing Decision Maker
758960025,Belinda   Findlay,Manager-Membership & Merchandise,Purchasing
758960025,Paul   White,Chief Executive Officer,"Human Resources Decision Maker,Sales Decision Maker"
