duns,person_name,title,responsibilities
753834159,Jermaine Akil  Hunt,Director,Director
753834159,Henry   Deguara,Director,Director
753834159,Andrew   Hage,Director,Director
753834159,Colin Murray  Landman,Director,Director
753834159,Cameron Norman  Cooper,Director,Director
753834159,Allen Yoong Keong Lew,CHIEF EXECUTIVE OFFICER,Chief Executive Officer
753834159,Rohan   Ganeson,Managing Director - Customer,Sales Decision Maker
753834159,John   Paitaridis,Managing Director - Optus Business,Operations Decision Maker
753834159,Andrew Kee Chuan Buay,Managing Director - Optus Technology & Products,IT Decision Maker
753834159,Vaughan   Paul,Vice President - Human Resources,Human Resources Decision Maker
753834159,Ben   White,"Managing Director- Marketing & Products, Optus",Marketing Decision Maker
