duns,person_name,title,responsibilities
747988454,Michael John  Barry,Director,Director
747988454,Christopher Alan  Bosworth,Director,Director
747988454,Rowland Alexander  Winten,Director,Director
747988454,Rommel Mario  Balitactac,Company Secretary,Company Secretary
747988454,Rosemary Helen  Richards,Director,Director
747988454,Donna Geraldine  Campagnolo,Director,Director
747988454,Haydn Thomas  Slattery,Director,Director
747988454,Gavin Francis  Whiteley,Director,Director
747988454,Adam   O'Halloran,Chief Information Officer,IT Decision Maker
747988454,Roslyn   Baker,Chief Executive Officer,"Chief Executive Officer,Operations Decision Maker,Sales Decision Maker"
747988454,Cathy   Weis,Head of Industry Communications & Marketing,Marketing Decision Maker
747988454,Janeene   Fitzgerald,"Executive Manager, Safety, People & Culture",Human Resources Decision Maker
747988454,Jane   Sing,Executive Manager - Corporate Services & CFO,Financial Decision Maker
