duns,person_name,title,responsibilities
745703447,George Edward  Chapman,Director,Director
745703447,Margo Jeanette  Chapman,Director,Director
745703447,Helen Elizabeth  Chapman,Director,Director
745703447,Kenneth George  Chapman,Director,Director
745703447,Karen Anne  Hawkins,Director,Director
745703447,David George  Chapman,Director,Director
745703447,Christopher Scott  Patterson,Company Secretary,Company Secretary
745703447,Richard   Berman-Hardman,General Manager,Operations Decision Maker
745703447,Narelle   Marrett,Human Resources Manager,Human Resources Decision Maker
745703447,Kevin   Parise,Director Of Sales,Sales Decision Maker
745703447,Phil   Bayne,Marketing Communications Officer,Marketing Decision Maker
745703447,Craig Ronald  Pocock,Joint Managing Director,"IT Decision Maker,Purchasing"
