duns,person_name,title,responsibilities
754674190,Francis William  Galbally,Director,Director
754674190,Andrew Redding  Wilson,CHIEF EXECUTIVE OFFICER,Director
754674190,Lachlan Paul  Given,Director,Director
754674190,Kenneth James  Gillespie,Director,Director
754674190,Lawrence David  Hansen,Director,Director
754674190,Philip Stanley  Schofield,Director,Director
754674190,Brendan   Case,Company Secretary,Company Secretary
754674190,Julian   Fay,Chief Technology Officer,IT Decision Maker
754674190,Barbara   McMeekin,Chief Accountant,Purchasing
754674190,Dave   Taylor,Solutions Manager,Marketing Decision Maker
754674190,Stuart   Bell,General Manager Product Sales Australia/ New Zealand,Sales Decision Maker
754674190,Philip   Schofield,Director,Director
