duns,person_name,title,responsibilities
758918247,Paul Andrew  Fowler,Director,Director
758918247,Stephen   Mulley,Director,Director
758918247,Craig Michael  Cygler,Director,Director
758918247,Shaun Vincent  Donaldson,Director,Director
758918247,Damien John  Berg,Director,Director
758918247,Stephen Anthony  Widt,Director,Director
758918247,Daryl Anthony  Doolan,Director,Director
758918247,Philip James  Young,Director,Director
758918247,Rick Jason  Parmenter,Director and Company Secretary,"Company Secretary,Director"
758918247,Michael   Muir,Duty Manager,Operations Decision Maker
758918247,Katrina   Faulkner,Group Financial Controller,Financial Decision Maker
758918247,Chris   Williams,Purchasing Manager,Purchasing
758918247,Dion   Eades,Marketing Manager,Marketing Decision Maker
758918247,Jeremy   Judd,Marketing Coordinator,Marketing Decision Maker
758918247,Julie   Stone,Human Resources Manager,Human Resources Decision Maker
