duns,person_name,title,responsibilities
743051372,Monica   Juricev,Director,Director
743051372,Louise Kathryn  Ardagh,Director,Director
743051372,Anthony Patrick  Curry,Director,Director
743051372,Marie   Achour,Director,Director
743051372,Sylvia   Lennon,Director,Director
743051372,Danielle Marguerite  Lee,Director,Director
743051372,Michael Thomas  Shanahan,Director,Director
743051372,Braden Robert  Hill,Director,Director
743051372,Debra Maria  Zanella,CHIEF EXECUTIVE OFFICER,Company Secretary
743051372,Justine Michelle  Roberts,Director,Director
743051372,Gaye   Foley,Company Secretary,Company Secretary
743051372,Graham   Donnelly,Finance Business Partner,Financial Decision Maker
743051372,Lana   Snook,"Executive Manager, People Development",Human Resources Decision Maker
743051372,Bill   Irvine,Business Partner Technology & Digital Innovation,IT Decision Maker
743051372,Jamie   Robertson,"Executive Manager, Funding & Community Partnerships","Marketing Decision Maker,Purchasing"
