duns,person_name,title,responsibilities
754942001,Silvio   Salom,Director,Director
754942001,Peter Darren John Landos,Director,Director
754942001,Natalya Anna  Jurcheshin,Director,Director
754942001,Sally   McDow,Company Secretary,Company Secretary
754942001,Michael Joseph  McConnell,Director,Director
754942001,George   Watts,GENERAL MANAGER,"Chief Executive Officer,Human Resources Decision Maker,IT Decision Maker,Marketing Decision Maker,Operations Decision Maker,Purchasing,Sales Decision Maker"
