duns,person_name,title,responsibilities
740039581,Mark   Rutherglen,Director,Director
740039581,Luke Christopher  Anderson,Director and Company Secretary,"Company Secretary,Director"
740039581,Benjamin David  Fewster,Director,Director
740039581,Roshan Sylvester  Perera,Director,Director
740039581,Benn Andrew  Farrawell,Director,Director
740039581,Dallas Kent  Mulholland,Director,Director
740039581,Alta   Cronje,Director Of Procurement,Purchasing
740039581,Sabine   Tromeur,Director of Finance,Financial Decision Maker
740039581,Karina   Hill,Director of People & Culture,Human Resources Decision Maker
740039581,Duane Gerald  Barber,Director and Company Secretary,"IT Decision Maker,Marketing Decision Maker,Operations Decision Maker,Sales Decision Maker"
