duns,person_name,title,responsibilities
754061877,Roderick Hamish  Macdonald,Director,Director
754061877,Yuen Fai  Chu,Director,Director
754061877,Peter Kenway  Bennett,Director,Director
754061877,Adam Mark  Cheesman,Director,Director
754061877,Andrea   Galati,Director,Director
754061877,Marco   Assorati,Director,Director
754061877,Lana   King,Head Of Human Resources,Human Resources Decision Maker
754061877,Rajiv Virendra  Ratneser,"Executive Vice President, Business Development & Commercial",Marketing Decision Maker
754061877,Cynthia   Calderon,Marketing & Communications Manager,Marketing Decision Maker
754061877,Philip   Cave,"Executive Vice President, Australia & Asia Pacific Operations",Operations Decision Maker
754061877,Rob   Radici,"Head of Commercial, Supply Chain & Risk",Purchasing
754061877,Michael   Hansen,Head Of Supply Chain,Purchasing
754061877,Jing   Leong,IT Manager,IT Decision Maker
