duns,person_name,title,responsibilities
758393235,Colin Wayne  Sales,Director,Director
758393235,Jane   Calder,Director,Director
758393235,Kevin Ross  Franey,Director,Director
758393235,Andrew Martin  Yost,Director,Director
758393235,Robert   Hale,Director,Director
758393235,Damian   Buchanan,Company Secretary,Company Secretary
758393235,Sally Anne  Bender,Director,Director
758393235,Sally-Anne   Cumine,Deputy Chief Executive Officer,Operations Decision Maker
758393235,John   Williams,Chief Executive Officer,"Chief Executive Officer,Human Resources Decision Maker,IT Decision Maker,Marketing Decision Maker,Purchasing,Sales Decision Maker"
758393235,Susie   Palmer,Chief Financial Officer,Financial Decision Maker
