duns,person_name,title,responsibilities
752673926,Anthony John  Hynes,Director,Director
752673926,Hilary Ann  Rapkin,Director,Director
752673926,Kim Frances  Ford,Director,Director
752673926,Erica Julie  Martin,Company Secretary,Company Secretary
752673926,Andrew   Gatty,Chief Financial Officer,Financial Decision Maker
752673926,Bryan   Lewis,Chief Operating Officer,Operations Decision Maker
752673926,Matt   Argus,"Marketing Manager, APAC",Marketing Decision Maker
752673926,Sarah   Newman,Human Resources Manager,Human Resources Decision Maker
752673926,Tim   Lewis,Chief Information Officer,IT Decision Maker
752673926,Julie   Kirk,Head Of People,Human Resources Decision Maker
