duns,person_name,title,responsibilities
746895341,Richard Graham  Reading,Director,Director
746895341,Elizabeth Faye  Ashcroft,Director,Director
746895341,Barry Glenn  Herbert,Director,Director
746895341,Paul Francis  Stevens,Director,Director
746895341,James Mark  Morris,Director,Director
746895341,Robert Gerrard  Wilkinson,Director,Director
746895341,Fiona Joan  Osborne,Director,Director
746895341,Joseph Leo  Kelly,Company Secretary,Company Secretary
746895341,Phil   McBride,Financial Controller,Financial Decision Maker
746895341,Gareth   Jones,Operations Manager,Operations Decision Maker
746895341,Debra   Muliana,Human Resources Manager,Human Resources Decision Maker
746895341,Anada   Goontelleke,Purchasing Officer,Purchasing
746895341,Roy   Olsen,Maintenance Manager,IT Decision Maker
