duns,person_name,title,responsibilities
746396782,Guixiang   Li,Director,Director
746396782,Ian Andrew  Brooksbank,Director,Director
746396782,Minli   Gao,Director,Director
746396782,Jesse Leigh  Clark,Director,Director
746396782,Weiping   Hu,Director,Director
746396782,Bradley John  Purvis,Company Secretary,Company Secretary
746396782,Evangelista   Albertini,Chief Operating Officer,Operations Decision Maker
746396782,Stephen   Ross,General Manager,Operations Decision Maker
746396782,Andrew   Catchpole,Director Strategy & Market Development,Sales Decision Maker
746396782,Samantha   Meyer,Manager Brand & Communications Manager,Marketing Decision Maker
746396782,Hilary   Fazackerley,Head Of People & Culture,Human Resources Decision Maker
746396782,Luke   Stow,Chief Information Officer,IT Decision Maker
