duns,person_name,title,responsibilities
751274713,James   Fitzpatrick,Director,Director
751274713,Brendan Joseph  Dunne,Director,Director
751274713,Julie Anne  Mitchell-Zancanaro,Director,Director
751274713,Sejil   Mistry,Company Secretary,Company Secretary
751274713,Melanie Isabelle  Laporte,Company Secretary,Company Secretary
751274713,SIR HAROLD GEORGE ASTON,Director,Director
751274713,Mark Andrew  Raumer,Chief Financial Officer,Financial Decision Maker
751274713,Tim   Dawson,Group Human Resources Manager,Human Resources Decision Maker
751274713,Michael   Winter,Chief General Manager Retail Distribution,Sales Decision Maker
751274713,Lincoln   Elliot,"Head Of Marketing, Consumer",Marketing Decision Maker
751274713,Glen   Jacobs,"National Manager, Procurement & Contract Management",Purchasing
