duns,person_name,title,responsibilities
751908968,Leon   Hoare,Director,Director
751908968,Gordon   Naylor,Director,Director
751908968,Russell Lindsay  Basser,Director,Director
751908968,Richard Charles  Betts,Director,Director
751908968,Christine   Emmanuel Donnelly,Director,Director
751908968,Anita   James,Company Secretary,Company Secretary
751908968,Tara Shawn  Eaton,Company Secretary,Company Secretary
751908968,Wayne   Pearce,Head of Operations,Operations Decision Maker
751908968,Thomas   Materia,Sales & Marketing Manager,"Marketing Decision Maker,Sales Decision Maker"
751908968,Tara   Collier,Human Resources Manager,Human Resources Decision Maker
751908968,John   Sharman,Chief Executive Officer,"Chief Executive Officer,IT Decision Maker,Purchasing"
