duns,person_name,title,responsibilities
742222102,Rod   Driver,Director,Director
742222102,Michael John Robert Hiscox,Director,Director
742222102,Joshua James  Bolitho,Director,Director
742222102,Cameron   Hardy,Director,Director
742222102,Zachary Alan  Smith,Director,Director
742222102,Carol   Sawyer,Company Secretary,Company Secretary
742222102,Jason John  Jennings,Director,Director
742222102,Stephen Wayne  Brennan,Group Chief Financial Officer & Company Secretary,Financial Decision Maker
742222102,Lachani   Winckramarapna,Group Accounts Manager,Financial Decision Maker
742222102,Tanna   Winter,Creative Business Unit Manager,"Marketing Decision Maker,Operations Decision Maker"
742222102,Rob   Docker,Chief Executive Officer,"Human Resources Decision Maker,IT Decision Maker,Sales Decision Maker"
742222102,Adam   Blum,Operations Manager,Operations Decision Maker
