duns,person_name,title,responsibilities
740109900,William Francis  Cusack,Director,Director
740109900,Kevin Francis  Murphy,Director,Director
740109900,Bruce William  Prior,Director,Director
740109900,Neil   Ballinger,Director,Director
740109900,Jeff   Whalley,Director,Director
740109900,Brian Joseph  O'Rourke,Director,Director
740109900,Lee   Floro,Director,Director
740109900,Michael John  Wilkins,Chief Executive Officer & Company Secretary,Company Secretary
740109900,David   Renehan,Operations Manager,"Human Resources Decision Maker,Operations Decision Maker,Sales Decision Maker"
740109900,Peter J.  O'Brien,Financial Controller,Financial Decision Maker
740109900,Mark   Boniface,Gaming Manager,"IT Decision Maker,Purchasing"
740109900,Melissa   Cetkovic,Marketing Manager,Marketing Decision Maker
