duns,person_name,title,responsibilities
754681609,Saul   Zang,Director,Director
754681609,Eduardo Sergio  Elsztain,Director,Director
754681609,Robert   Trzebski,Director,Director
754681609,Pablo   Vergara Del Carril,Director,Director
754681609,Jose   Bordogna,Company Secretary,Company Secretary
754681609,Euh   Hwang,Company Secretary,Company Secretary
754681609,Benjamin   Jarvis,Director,Director
754681609,Stabro   Kasaneva,CHIEF EXECUTIVE OFFICER,Director
754681609,Juan   Andres Morel,Chief Operating Officer,Operations Decision Maker
754681609,Rodrigo   Ramirez,Vice President Of  Technical Services,IT Decision Maker
