duns,person_name,title,responsibilities
749029245,Damian   Armour,Director,Director
749029245,Gregory Arthur  Sam,Director,Director
749029245,Andrew   Major,Director,Director
749029245,Suzy Rose  Batkovic,Director,Director
749029245,Wisam   Charmand,Director,Director
749029245,John   Carey,Director,Director
749029245,Clinton William  Benjamin,Director,Director
749029245,Simon Luke  Bishop,Company Secretary,Company Secretary
749029245,Lorraine   McGadey,Financial Controller,Financial Decision Maker
749029245,Stuart   Coventry,Chief Operating Officer,Operations Decision Maker
749029245,Jerril   Rechter,Chief Executive Officer,"Chief Executive Officer,IT Decision Maker,Operations Decision Maker,Purchasing,Sales Decision Maker"
