duns,person_name,title,responsibilities
751266990,Thomas William  Pockett,Director,Director
751266990,Adam Michael  Tindall,Director,Director
751266990,Andrew Cameron  Stevens,Director,Director
751266990,Laurence Ralph  Brindle,Director,Director
751266990,Melinda Blanton  Conrad,Director,Director
751266990,Kathryn Mary  McKenzie,Director,Director
751266990,Robert William  Johnston,Director,Director
751266990,Christopher John  Lawton,Director,Director
751266990,Penelope Ann  Winn,Director,Director
751266990,Katherine Elizabeth  Grace,Company Secretary,Company Secretary
751266990,Tarun Dinkar  Gupta,Director,Director
751266990,Josh   McHutchison,Chief Financial Officer,Financial Decision Maker
751266990,Jamie   Loader,National Operations Manager,Operations Decision Maker
751266990,Gill   Rees,Chief People & Stakeholder Engagement Officer,Human Resources Decision Maker
751266990,Stephanie   Alesich,Marketing Manager,Marketing Decision Maker
751266990,Melissa   Baillie,Sales Manager,Sales Decision Maker
751266990,Sam   Zovko,Procurement Manager,Purchasing
