duns,person_name,title,responsibilities
740516146,Darryl Desmond  Courtney-O'Connor,Director and Company Secretary,"Company Secretary,Director"
740516146,Dominic   Szambowski,CEO & PRESIDENT,"Chief Executive Officer,Human Resources Decision Maker,IT Decision Maker,Purchasing,Sales Decision Maker"
740516146,Chris   Auld,Deputy Vice Chancellor,Operations Decision Maker
740516146,Stuart   Wiggins,"Vice President Student Services, Registrar",Operations Decision Maker
740516146,Rowan   Courtney-O'Connor,General Manager â€“ Marketing & Recruitment,Marketing Decision Maker
740516146,Kok-Yong   Liew,Chief Financial Officer - Company Secretary,Financial Decision Maker
