duns,person_name,title,responsibilities
741319888,Myra Anne  Salkinder,Director,Director
741319888,Steven Craig  Sewell,Director,Director
741319888,Mark   Haberlin,Director,Director
741319888,Jingmin   Qian,Director,Director
741319888,Trent   Alston,Director,Director
741319888,Lucy Mary  Spenceley,Company Secretary,Company Secretary
741319888,Cate   Aarons,Head Of Strategy,Marketing Decision Maker
741319888,Rob   Baulderstone,Chief Financial Officer & Company Secretary,Financial Decision Maker
741319888,Cameron   Laird,"Director, Property Ventures",Operations Decision Maker
741319888,Gavin   Lechem,"Director, Specialised Capital",Operations Decision Maker
741319888,John Anthony  L'Estrange,"Director, Property Ventures",Operations Decision Maker
741319888,Philip   Peterson,Head Of Self-Storage,Operations Decision Maker
741319888,Peter   Strain,"Director, Property",Operations Decision Maker
741319888,Neil   Summerfield,Head Of Investor Relations,Operations Decision Maker
741319888,Greg   West,IT Manager,IT Decision Maker
741319888,Kristen   Lucas,Group Financial Controller,Financial Decision Maker
741319888,Steven   Sewell,Managing Director,Managing Director
