duns,person_name,title,responsibilities
744149544,Roger William  Allen,Director,Director
744149544,Paul Robert Thomas Reid,Director,Director
744149544,John   Pavlidis,Director,Director
744149544,Teri Jo  Thomas,Director,Director
744149544,Mark Wouter  Bouw,Director,Director
744149544,Karin Johanna  Lindgren,Director,Director
744149544,Ann Esther  Custin,Director,Director
744149544,Mark   Koeniguer,Chief Commercial Officer,Operations Decision Maker
744149544,Craig   Hadfield,Chief Financial Officer & Company Secretary,Financial Decision Maker
744149544,Julian   Marshall,Chief Marketing Officer,Marketing Decision Maker
744149544,David   Murray,Chief Technology Evangelist,IT Decision Maker
744149544,Ian   Hendra,Regulatory Manager,Operations Decision Maker
744149544,Penelope   Gibson,Intellectual Property Manager,Operations Decision Maker
