duns,person_name,title,responsibilities
890729593,Adrian Paul  Stewart,Director,Director
890729593,Sally Louise  Evans,Director,Director
890729593,David Lawrence  Plumb,Director,Director
890729593,Bernard Fernand  Ripoll,Director,Director
890729593,Jasmine Marie  Jirele,Director,Director
890729593,Catherine Joy  James,Company Secretary,Company Secretary
890729593,Thomas Karl Heinz Naumann,Director,Director
890729593,Madelaine   Lu,Company Secretary,Company Secretary
890729593,Mark Andrew  Raumer,Chief Financial Officer,Financial Decision Maker
890729593,Tim   Dawson,Group Human Resources Manager,Human Resources Decision Maker
890729593,Michael   Winter,Chief Gneral Manager Retail Distribution,Sales Decision Maker
890729593,Lincoln   Elliot,"Head Of Marketing, Consumer",Marketing Decision Maker
890729593,David Marc  Krawitz,Chief Operating Officer,Operations Decision Maker
890729593,Glen   Jacobs,"National Manager, Procurement & Contract Management",Purchasing
890729593,Richard   Feledy,Chief Executive Officer,Chief Executive Officer
