duns,person_name,title,responsibilities
749547493,Richard Chiak Seng Heah,Director,Director
749547493,Daniel James  Haydon,Director,Director
749547493,Sian   Goodson,Director,Director
749547493,John Darryn  Manning,Director,Director
749547493,Mohammad Rizwan  Latif,Director,Director
749547493,Tracey   Wade,Director,Director
749547493,SAGERAN CHENDRIAH  NAIDOO,CHIEF EXECUTIVE OFFICER,Company Secretary
749547493,Kali Wanita  Hayward,Director,Director
749547493,Emma   Rosie,Executive Assistant,Operations Decision Maker
749547493,Josie   Cajipe,Finance & IT Manager,"Financial Decision Maker,IT Decision Maker"
749547493,Kharzina   Villanueva,Finance Officer,Financial Decision Maker
749547493,Kiara   Hillam,Human Resources Coordinator,Human Resources Decision Maker
