duns,person_name,title,responsibilities
755878907,Zhengxiang   Ding,Director,Director
755878907,Guopeng   Liao,Director,Director
755878907,Jianwen   Shen,Director,Director
755878907,Yujuan   Deng,Director,Director
755878907,Peiquan   Zheng,Company Secretary,Company Secretary
755878907,Raymond   Zhan,Finance Manager,Financial Decision Maker
755878907,Wayne   Jones,Operations Manager,Operations Decision Maker
755878907,Arthur   Balkan,Marketing Manager,"Marketing Decision Maker,Sales Decision Maker"
755878907,Manny   Doumias,Purchasing Officer,Purchasing
755878907,Hector Raul  Ojea,Managing Director,Managing Director
